ranking,sector,ticker1,ticker2,corr_px,corr_r,corr_px**2,corr_r**2,corr**2_sum,name1,name2,corr**2_w_sum
5,Industrials,010140_KS,009540_KS,0.963518392,0.792750191,0.928367691,0.628452866,1.556820557,"Samsung Heavy Industries Co., Ltd",HD Korea Shipbuilding & Offshore Engineering Co Lt,0.688435831
6,Financials,024110_KS,316140_KS,0.936109913,0.782567774,0.876301769,0.612412321,1.488714089,Industrial Bank of Korea,Woori Financial Group Inc,0.665190211
7,Industrials,034020_KS,052690_KS,0.851417665,0.794685439,0.72491204,0.631524947,1.356436986,"Doosan Heavy Industries & Construction Co., Ltd","KEPCO Engineering & Construction Company, Inc",0.650202366
8,Industrials,009540_KS,329180_KS,0.962733377,0.75885093,0.926855555,0.575854734,1.502710289,HD Korea Shipbuilding & Offshore Engineering Co Lt,"Hyundai Heavy Industries Co., Ltd",0.646054898
9,Financials,138930_KS,316140_KS,0.872174629,0.772414633,0.760688583,0.596624365,1.357312948,BNK Financial Group Inc,Woori Financial Group Inc,0.629437209
10,Consumer Staples,051900_KS,090430_KS,0.754225427,0.798956726,0.568855995,0.638331851,1.207187846,LG Household & Health Care Ltd,Amorepacific Corporation,0.62443668
11,Industrials,272210_KS,047810_KS,0.925730279,0.747606434,0.85697655,0.55891538,1.41589193,Hanwha Systems Ltd,"Korea Aerospace Industries, Ltd",0.618527614
12,Financials,105560_KS,086790_KS,0.8233708,0.774578426,0.677939473,0.599971738,1.277911211,KB Financial Group Inc,Hana Financial Group Inc,0.615565285
13,Consumer Staples,051900_KS,002790_KS,0.83418933,0.765967684,0.695871838,0.586706493,1.282578331,LG Household & Health Care Ltd,AMOREPACIFIC Group,0.608539562
14,Industrials,064350_KS,079550_KS,0.934400515,0.735010032,0.873104322,0.540239747,1.413344069,Hyundai Rotem Company,LIG Nex1 Co Ltd,0.606812662
15,Industrials,010620_KS,329180_KS,0.806370637,0.768346703,0.650233604,0.590356656,1.24059026,"Hyundai Mipo Dockyard Co., Ltd","Hyundai Heavy Industries Co., Ltd",0.602332046
17,Financials,138930_KS,024110_KS,0.922714286,0.722658877,0.851401654,0.522235852,1.373637506,BNK Financial Group Inc,Industrial Bank of Korea,0.588069012
18,Industrials,051600_KS,052690_KS,0.785276777,0.7605818,0.616659616,0.578484674,1.19514429,"KEPCO Plant Service & Engineering Co.,Ltd","KEPCO Engineering & Construction Company, Inc",0.586119662
21,Industrials,047810_KS,079550_KS,0.888433667,0.718100477,0.789314381,0.515668295,1.304982676,"Korea Aerospace Industries, Ltd",LIG Nex1 Co Ltd,0.570397512
