ticker,field,name,value,position
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,A UN,0
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AA UN,1
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AAL UW,2
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AAP UN,3
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AAPL UW,4
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ABBV UN,5
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ABC UN,6
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ABNB UW,7
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ABT UN,8
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ACGL UW,9
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ACHC UW,10
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ACI UN,11
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ACM UN,12
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ACN UN,13
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ADBE UW,14
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ADI UW,15
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ADM UN,16
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ADP UW,17
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ADSK UW,18
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ADT UN,19
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AEE UN,20
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AEP UW,21
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AES UN,22
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AFG UN,23
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AFL UN,24
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AFRM UW,25
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AGCO UN,26
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AGL UN,27
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AGNC UW,28
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AGO UN,29
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AGR UN,30
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AIG UN,31
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AIRC UN,32
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AIZ UN,33
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AJG UN,34
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AKAM UW,35
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AL UN,36
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ALB UN,37
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ALGM UW,38
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ALGN UW,39
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ALK UN,40
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ALL UN,41
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ALLE UN,42
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ALLY UN,43
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ALNY UW,44
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ALSN UN,45
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AM UN,46
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AMAT UW,47
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AMBP UN,48
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AMC UN,49
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AMCR UN,50
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AMD UW,51
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AME UN,52
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AMED UW,53
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AMG UN,54
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AMGN UW,55
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AMH UN,56
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AMP UN,57
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AMT UN,58
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AMZN UW,59
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AN UN,60
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ANET UN,61
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ANSS UW,62
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AON UN,63
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AOS UN,64
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,APA UW,65
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,APD UN,66
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,APH UN,67
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,APO UN,68
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,APP UW,69
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,APTV UN,70
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AR UN,71
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ARE UN,72
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ARES UN,73
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ARMK UN,74
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ARW UN,75
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ASH UN,76
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ATO UN,77
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ATR UN,78
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ATUS UN,79
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,ATVI UW,80
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AVB UN,81
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AVGO UW,82
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AVT UW,83
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AVTR UN,84
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AVY UN,85
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AWI UN,86
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AWK UN,87
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AXON UW,88
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AXP UN,89
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AXS UN,90
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AXTA UN,91
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AYI UN,92
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AYX UN,93
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AZEK UN,94
RIY Index,INDX_MEMBERS,Member Ticker and Exchange Code,AZO UN,95
